Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-03-01,21.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",20.0,50
2020-03-01,31.0,2007,parmella,1.0,1690,['parmella'],1690.0,65
2020-03-01,21.0,2004,spicy vegan,1.0,1690,"['spici', 'vegan']",1690.0,79
2020-03-01,31.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",1190.0,63
2020-03-01,31.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-03-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-03-01,2.0,6030,good times,1.0,1195,"['good', 'time']",1195.0,24
2020-03-01,2.0,6107,mk spicy vegan,1.0,995,"['mk', 'spici', 'vegan']",995.0,79
2020-03-01,2.0,6064,good times,1.0,995,"['good', 'time']",995.0,24
2020-03-01,31.0,2044,vanilla flirt lítil,1.0,990,"['vanilla', 'flirt', 'lítil']",990.0,90
2020-03-01,31.0,3005,indian flirt lítil,1.0,990,"['indian', 'flirt', 'lítil']",990.0,39
2020-03-01,31.0,6026,chickencado,1.0,837,['chickencado'],837.0,8
2020-03-01,31.0,6055,icelandic flurt ,1.0,837,"['iceland', 'flurt']",837.0,36
2020-03-01,2.0,1041,greenday,1.0,1190,['greenday'],1190.0,26
2020-03-01,2.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-03-01,2.0,6010,lítil mozzato,1.0,895,"['lítil', 'mozzato']",895.0,58
2020-03-01,2.0,10003,coke 0 33l,1.0,300,"['coke', '0', '33l']",300.0,12
2020-03-01,2.0,2006,mozzato,1.0,1690,['mozzato'],1690.0,57
2020-03-01,31.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-03-01,31.0,1013,good times lítil,1.0,495,"['good', 'time', 'lítil']",495.0,25
2020-03-01,31.0,1013,good times lítil,1.0,495,"['good', 'time', 'lítil']",495.0,25
2020-03-01,31.0,1014,nice guy lítil,1.0,495,"['nice', 'guy', 'lítil']",495.0,64
2020-03-01,31.0,1014,nice guy lítil,1.0,495,"['nice', 'guy', 'lítil']",495.0,64
2020-03-01,31.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-03-01,31.0,6073,django,1.0,995,['django'],995.0,17
2020-03-01,31.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-03-01,31.0,6073,django,1.0,995,['django'],995.0,17
2020-03-01,31.0,1007,presley ,1.0,1190,['presley'],1190.0,69
2020-03-01,31.0,1007,presley ,1.0,1190,['presley'],1190.0,69
