Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-06-01,2.0,10006,toppur appelsínu 0 5l,1.0,300,"['toppur', 'appelsínu', '0', '5l']",300.0,82
2020-06-01,2.0,7003,hafragrautur granola,1.0,590,"['hafragrautur', 'granola']",590.0,28
2020-06-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-06-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-06-01,21.0,6065,dazed,1.0,995,['daze'],995.0,15
2020-06-01,21.0,6084,lítil spicy tuna,1.0,995,"['lítil', 'spici', 'tuna']",995.0,78
2020-06-01,21.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-06-01,21.0,6066,nice guy,1.0,995,"['nice', 'guy']",995.0,63
2020-06-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-06-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-06-01,31.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-06-01,31.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-06-01,31.0,1025,lotta love ,1.0,1190,"['lotta', 'love']",1190.0,48
2020-06-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-06-01,31.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-06-01,2.0,6023,chango,1.0,1195,['chango'],1195.0,6
2020-06-01,31.0,1025,lotta love ,1.0,595,"['lotta', 'love']",595.0,48
2020-06-01,31.0,1003,nice guy ,1.0,595,"['nice', 'guy']",595.0,63
2020-06-01,2.0,2031,jj kombó,1.0,1195,"['jj', 'kombó']",1195.0,40
2020-06-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-06-01,2.0,6030,good times,1.0,1195,"['good', 'time']",1195.0,24
2020-06-01,2.0,1025,lotta love ,1.0,1190,"['lotta', 'love']",1190.0,48
2020-06-01,2.0,000005, poki,1.0,40,['poki'],40.0,50
2020-06-01,2.0,2054,kaffi frappo lítil,1.0,990,"['kaffi', 'frappo', 'lítil']",990.0,44
2020-06-01,2.0,770005,súkkulaðiklatti,1.0,490,['súkkulaðiklatti'],490.0,6
2020-06-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-06-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-06-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-06-01,2.0,6039,alabama,1.0,1195,['alabama'],1195.0,0
2020-06-01,31.0,1009,django ,1.0,595,['django'],595.0,17
2020-06-01,2.0,2028,jj ,-1.0,-1190,['jj'],1190.0,40
2020-06-01,21.0,2002,tunacado,1.0,1690,['tunacado'],1690.0,86
2020-06-01,2.0,6030,good times,1.0,1195,"['good', 'time']",1195.0,24
2020-06-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-06-01,2.0,1100,gjafabréf nr  179,-1.0,-2390,"['gjafabréf', 'nr', '179']",2390.0,23
2020-06-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-06-01,2.0,2041,hangover kombó,1.0,1195,"['hangov', 'kombó']",1195.0,30
2020-06-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-06-01,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-06-01,21.0,6036,presley,1.0,1195,['presley'],1195.0,69
2020-06-01,2.0,6043,chickencado  gos,1.0,1890,"['chickencado', 'go']",1890.0,8
2020-06-01,2.0,10001,coke zero 0 33l,1.0,300,"['coke', 'zero', '0', '33l']",300.0,14
2020-06-01,31.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",1190.0,63
2020-06-01,31.0,1007,presley ,1.0,1190,['presley'],1190.0,69
2020-06-01,31.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-06-01,31.0,6036,presley,1.0,1195,['presley'],1195.0,69
2020-06-01,31.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-06-01,31.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-06-01,21.0,6093,chicken curry,1.0,1195,"['chicken', 'curri']",1195.0,75
2020-06-01,21.0,2031,jj kombó,1.0,1195,"['jj', 'kombó']",1195.0,40
2020-06-01,2.0,6049,pescado,1.0,1195,['pescado'],1195.0,67
2020-06-01,2.0,2063,elvis kombó,1.0,1195,"['elvi', 'kombó']",1195.0,19
2020-06-01,2.0,6094,spicy vegan combó,1.0,1195,"['spici', 'vegan', 'combó']",1195.0,79
