Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-05-01,2.0,2038,hangover,1.0,1690,['hangov'],1690.0,30
2020-05-01,2.0,2001,chango,1.0,1690,['chango'],1690.0,6
2020-05-01,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",20.0,50
2020-05-01,2.0,1025,lotta love ,1.0,595,"['lotta', 'love']",595.0,48
2020-05-01,2.0,1001,good times ,1.0,1190,"['good', 'time']",1190.0,24
2020-05-01,2.0,1025,lotta love ,1.0,595,"['lotta', 'love']",595.0,48
2020-05-01,2.0,2002,tunacado,1.0,845,['tunacado'],845.0,86
2020-05-01,2.0,2006,mozzato,1.0,845,['mozzato'],845.0,57
2020-05-01,2.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-05-01,2.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-05-01,2.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-05-01,2.0,2007,parmella,1.0,1690,['parmella'],1690.0,65
2020-05-01,21.0,6026,chickencado,1.0,956,['chickencado'],956.0,8
2020-05-01,21.0,6032,nice guy,1.0,956,"['nice', 'guy']",956.0,63
2020-05-01,21.0,6026,chickencado,1.0,956,['chickencado'],956.0,8
2020-05-01,21.0,6032,nice guy,1.0,956,"['nice', 'guy']",956.0,63
2020-05-01,21.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-05-01,21.0,2001,chango,1.0,1690,['chango'],1690.0,6
2020-05-01,21.0,6007,lítil spicy tuna,1.0,895,"['lítil', 'spici', 'tuna']",895.0,78
2020-05-01,21.0,6016,lítil honey bunny,1.0,895,"['lítil', 'honey', 'bunni']",895.0,35
2020-05-01,21.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-05-01,21.0,2018,pescado,1.0,1690,['pescado'],1690.0,67
2020-05-01,2.0,1003,nice guy ,1.0,893,"['nice', 'guy']",893.0,63
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,596,"['iceland', 'flirt']",596.0,36
2020-05-01,2.0,komboman15,chickencurry   ,1.0,596,['chickencurri'],596.0,10
2020-05-01,21.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-05-01,21.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",550.0,51
2020-05-01,21.0,6028,parmella,1.0,1195,['parmella'],1195.0,65
2020-05-01,21.0,2048,vanilla flirt kombó,1.0,1195,"['vanilla', 'flirt', 'kombó']",1195.0,89
2020-05-01,21.0,6094,spicy vegan combó,1.0,1195,"['spici', 'vegan', 'combó']",1195.0,79
2020-05-01,21.0,6030,good times,1.0,1195,"['good', 'time']",1195.0,24
2020-05-01,21.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-05-01,2.0,komboman15,chickencurry   ,1.0,795,['chickencurri'],795.0,10
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,795,"['iceland', 'flirt']",795.0,36
2020-05-01,21.0,6059,icelandic flurt lítil lítil,1.0,895,"['iceland', 'flurt', 'lítil', 'lítil']",895.0,37
2020-05-01,21.0,6046,spicy chicken   gos,1.0,1890,"['spici', 'chicken', 'go']",1890.0,75
2020-05-01,21.0,2018,pescado,1.0,1690,['pescado'],1690.0,67
2020-05-01,21.0,6049,pescado,1.0,1195,['pescado'],1195.0,67
2020-05-01,2.0,6099,lotta love t combó,1.0,1195,"['lotta', 'love', 't', 'combó']",1195.0,48
2020-05-01,2.0,6094,spicy vegan combó,1.0,1195,"['spici', 'vegan', 'combó']",1195.0,79
2020-05-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-05-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,2.0,6036,presley,1.0,1195,['presley'],1195.0,69
2020-05-01,2.0,6069,presley,1.0,995,['presley'],995.0,69
2020-05-01,2.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-05-01,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-05-01,21.0,6033,honey bunny,1.0,1195,"['honey', 'bunni']",1195.0,34
2020-05-01,21.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",1190.0,63
2020-05-01,21.0,6029,spicy chicken,1.0,1076,"['spici', 'chicken']",1076.0,75
2020-05-01,21.0,6032,nice guy,1.0,1076,"['nice', 'guy']",1076.0,63
2020-05-01,21.0,6009,lítil chickencado,1.0,806,"['lítil', 'chickencado']",806.0,9
2020-05-01,21.0,6015,lítil nice guy,1.0,806,"['lítil', 'nice', 'guy']",806.0,64
2020-05-01,2.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-05-01,2.0,2061,lítil elvis,1.0,895,"['lítil', 'elvi']",895.0,20
2020-05-01,2.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-05-01,2.0,2055,kaffi frappo ,1.0,1190,"['kaffi', 'frappo']",1190.0,42
2020-05-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-05-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-05-01,2.0,6036,presley,1.0,1195,['presley'],1195.0,69
2020-05-01,2.0,2070,mozzarella,1.0,220,['mozzarella'],220.0,6
2020-05-01,2.0,2066,kjöt,1.0,275,['kjöt'],275.0,47
2020-05-01,2.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
